"player_name","player_id","plus_minus","lineup_score","opponent_score","minutes_played"
"Anthony_Mosley",313,"38","669","631","383.233333336"
"Brett_Ott",314,"-11","60","71","39.7"
"Brinden_Carlson",315,"2","21","19","9.683333333"
"Calvin_Schmitz",316,"2","242","240","148.133333334"
"Capriest_Gardner",317,"29","392","363","231.5"
"Jake_Digiorgio",318,"24","881","857","508.983333338"
"Jake_Bruns",319,"45","506","461","280.383333336"
"Jason_Morris",320,"2","12","10","9.316666667"
"Kohl_Linder",321,"-4","206","210","124.05"
"Malik_Howze",322,"35","723","688","401.350000004"
"Max_Hisatake",323,"-1","653","654","386.016666671"
"Parker_Joncus",324,"53","754","701","416.483333338"
"Quentin_Forberg",325,"-14","81","95","52.166666668"
