"team_name","team_ast","team_fg"
"EastWest","7.0000000000000000","16.0000000000000000"
"MSOE","13.0000000000000000","22.0000000000000000"
"DominicanIL","12.0000000000000000","24.0000000000000000"
"MoodyBible","11.0000000000000000","17.0000000000000000"
"WheatonIL","18.0000000000000000","33.0000000000000000"
"Roosevelt","10.0000000000000000","23.0000000000000000"
"Carthage","13.0000000000000000","26.0000000000000000"
"Wabash","9.0000000000000000","26.0000000000000000"
"Knox","11.0000000000000000","20.0000000000000000"
"Fontbonne","16.0000000000000000","27.0000000000000000"
"CornellCollege","16.0000000000000000","24.0000000000000000"
"Chicago","15.0000000000000000","21.0000000000000000"
"Albion","15.0000000000000000","27.0000000000000000"
"UWPlatteville","25.0000000000000000","35.0000000000000000"
"OlivetCollege","18.0000000000000000","37.0000000000000000"
"Kalamazoo","8.0000000000000000","20.0000000000000000"
"Rose-Hulman","13.0000000000000000","22.0000000000000000"
"NorthPark","13.0000000000000000","26.0000000000000000"
"GustavusAdolphus","19.0000000000000000","27.0000000000000000"
"IllinoisTech","11.4736842105263158","24.3157894736842105"
